yAxis	xAxis
527	1.0
528	1.1
529	1.1
530	0.7
531	1.3
532	0.1
533	0.2
534	0.1
535	-0.8
536	-1.4
537	-1.1
538	-0.7
539	-0.4
540	0.1
541	0.2
542	-0.1
543	-0.8
544	-1.5
545	-2.0
546	-2.1
547	-2.3
548	-2.3
549	-2.8
550	-2.7
551	-2.6
552	-3.7
553	-3.8
554	-3.7
555	-2.1
556	-0.7
557	1.3
558	1.4
559	1.5
560	2.0
561	2.0
562	1.9
563	2.0
564	1.6
565	1.4
566	1.3
567	1.3
568	1.5
569	1.6
570	1.5
571	1.4
572	1.7
573	1.6
574	1.6
575	1.6
576	1.6
577	1.1
578	1.1
579	1.0
580	1.0
581	0.0
582	0.4
583	0.7
584	1.6
585	2.3
586	1.3
587	1.8
588	1.7
589	1.5
590	1.5
591	1.3
592	1.5
593	1.1
594	1.2
595	1.1
596	1.5
597	1.3
598	0.5
599	0.3
600	0.1
601	0.1
602	0.4
603	0.7
604	0.7
605	0.6
606	1.1
607	1.8
608	2.1
609	2.1
610	2.8
611	3.0
612	2.8
613	2.9
614	3.1
615	3.1
616	2.8
617	3.1
618	2.9
619	2.7
620	2.6
621	2.9
622	2.9
623	2.8
624	2.6
625	2.4
626	2.2
627	2.3
628	2.1
629	2.1
630	1.8
631	1.5
632	1.3
633	1.3
634	1.3
635	1.6
636	1.6
637	1.9
638	2.0
639	2.1
640	2.0
641	1.8
642	1.4
643	1.1
644	1.3
645	1.3
646	1.0
647	0.5
648	-0.1
649	-0.4
650	-0.5
651	-0.6
652	-0.9
653	-0.7
654	0.0
655	1.1
656	1.1
657	1.6
658	2.3
659	2.9
660	3.0
661	3.2
662	3.4
663	3.2
664	3.3
665	3.4
666	3.5
667	3.8
668	3.5
669	3.9
670	2.8
671	2.7
672	2.3
673	2.3
674	1.8
675	2.1
676	2.3
677	2.6
678	2.4
679	2.6
680	2.6
681	2.6
682	2.9
683	2.9
684	2.9
685	2.1
686	2.1
687	1.5
688	1.8
689	1.5
690	2.6
691	2.7
692	2.9
693	3.0
694	0.7
695	0.9
696	0.9
697	0.2
698	0.1
699	0.4
700	0.6
701	1.0
702	1.6
703	1.6
704	1.9
705	2.3
706	2.0
707	1.5
708	1.0
709	1.3
710	1.3
711	1.0
712	0.9
713	0.9
714	0.6
715	0.6
716	0.5
717	0.4
718	0.4
719	0.4
720	0.4
721	0.4
722	0.5
723	0.5
724	0.6
725	0.7
726	0.9
727	1.1
728	1.1
729	0.9
730	0.9
731	1.0
732	1.1
733	1.0
734	1.1
735	1.1
736	1.1
737	0.9
738	0.7
739	0.9
740	0.7
741	0.9
742	0.9
743	0.9
744	0.9
745	1.0
746	1.0
747	1.1
748	1.0
749	1.1
750	1.3
751	0.9
752	0.9
753	0.8
754	1.3
755	1.5
756	1.4
757	1.2
758	1.2
759	1.3
760	1.3
761	1.1
762	1.0
763	0.7
764	0.9
765	0.7
766	0.6
767	0.5
768	0.4
769	0.1
770	0.1
771	0.0
772	-0.1
773	-0.1
774	-0.3
775	-0.4
776	-0.5
777	-0.4
778	-0.7
779	-1.4
780	-1.3
781	-1.3
782	-1.3
783	-1.6
784	-1.6
785	-1.8
786	-1.8
787	-1.8
788	-2.1
789	-2.3
790	-2.8
791	-2.9
792	-3.2
793	-3.3
794	-3.4
795	-3.8
796	-3.8
797	-3.9
798	-4.0
799	-4.3
800	-3.8
801	-3.2
802	-3.2
803	-3.1
804	-2.6
805	-2.5
806	-2.3
807	-1.8
808	-1.4
809	-1.5
810	-1.9
811	-2.3
812	-2.3
813	-2.6
814	-2.6
815	-2.5
816	-2.4
817	-2.6
818	-2.6
819	-2.5
820	-2.3
821	-2.1
822	-2.0
823	-2.0
824	-1.7
825	-1.1
826	-0.4
827	-0.6
828	0.1
829	0.1
830	0.4
831	0.1
832	-0.1
833	-0.4
834	-0.6
835	-0.4
836	-0.9
837	-1.3
838	-0.5
839	-0.6
840	-0.1
841	-0.3
842	-0.2
843	-1.2
844	-1.3
845	-1.6
846	-1.5
847	-2.0
848	-1.0
849	-0.7
850	-0.3
851	0.0
852	0.1
853	0.2
854	-0.1
855	-0.5
856	-0.4
857	-0.5
858	-1.0
859	-0.9
860	-1.3
861	-1.0
862	-1.6
863	-2.1
864	-2.3
865	-2.6
866	-2.4
867	-2.3
868	-2.1
869	-2.4
870	-2.3
871	-2.4
872	-1.6
873	-0.7
874	-0.4
875	0.6
876	1.6
877	2.4
878	1.6
879	1.5
880	1.0
881	0.6
882	0.5
883	0.3
884	0.4
885	0.2
886	0.2
887	0.1
888	0.4
889	0.6
890	0.5
891	1.1
892	1.5
893	1.8
894	2.1
895	2.2
896	2.3
897	2.9
898	3.3
899	3.1
900	3.3
901	4.0
902	5.3
903	4.6
904	4.8
905	2.5
906	2.9
907	2.1
908	1.8
909	1.9
910	1.8
911	1.5
912	1.0
913	0.6
914	0.4
915	0.4
916	0.0
917	0.0
918	-0.1
919	-0.3
920	-0.3
921	0.1
922	0.5
923	0.7
924	1.0
925	1.3
926	1.4
927	1.3
928	0.9
929	0.6
930	0.6
931	0.7
932	0.7
933	1.1
934	1.3
935	1.3
936	2.1
937	2.7
938	2.8
939	3.3
940	3.9
941	3.8
942	3.9
943	3.8
944	5.0
945	5.5
946	6.8
